Song ID,pop,rap,dance-pop,post-teen-pop,pop-rap,trap,reggaeton,trap-latino,latin,hip-hop,melodic-rap,canadian-pop,electropop,pop-dance,atl-hip-hop
59L8x0xy8njj75vzVCPMqg,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0
4bF2y8rR7GUjrd5LNEvej3,,,,,,,,,,,,,,,
0u2P5u6lvoDfwTYjAADbn4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3KkXRkHbMCARz0aVfEt68P,,,,,,,,,,,,,,,
2CVChktEKBsM6v4IfdFU5k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60ynsPSSKe6O3sfwRnIBRf,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0vR2rIVORmgeKiGIgNT0fV,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4PQdrXMDHDPl1RczrrlADd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7qiZfU4dY1lWllzX7mPBI3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0TK2YIli7K1leLovkQiNik,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
49xx65gvlD7xXjDTavFqaJ,,,,,,,,,,,,,,,
0tgVpDi06FyKpA1z0VMD4v,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74znaWw1hmQBusGPSOuTFy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2XIc1pqjXV3Cr2BQUGNBck,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
7ytR5pFWmSjzHJIeQkgog4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4xqrdfXkTW4T0RauPLv3WA,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
45bE4HXI0AwGZXfZtMp8JR,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0ct6r3EGTcMLPtrXHDvVjc,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3JvrhDOgAt6p7K8mDyZwRd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ghIJDpPoe3CfHMGu71E6T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2TOzTqQXNmR2zDJXihjZ2e,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5E30LdtzQTGqRvNd7l6kG5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0FqVtQxRD3HsPltldG5v5M,,,,,,,,,,,,,,,
2BITQ360Knh6qNAOqR7Dyq,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
4cktbXiXOapiLBMprHFErI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7otCGmgp9h4CsR2LhwB6gt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2aTKrdenCq5qBOoJPFdn4P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1CS7Sd1u5tWkstBhpssyjP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2sX7lJXsOYGP1Us6CqM9t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5SwyN9hzmWjBsINlif8li8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1XXimziG1uhM0eDNCZCrUl,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
0GzuHFG4Ql6DoyxFRnIk3F,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2CIYemjFXdmCWpJnfbtrD6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7tFiyTwD0nx5a1eklYtX2J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1xK1Gg9SxG8fy2Ya373oqb,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6ft4hAq6yde8jPZY2i5zLr,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
5uEYRdEIh9Bo4fpjDd4Na9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2pPO9YecZimmuVQfIzfV6U,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0IqCoZ168iRc9LqfrYgpZy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2VxeLyX666F8uXCJ0dZF8B,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
7nc7mlSdWYeFom84zZ8Wr8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xBQvhJAm6f7J142ympKOn,,,,,,,,,,,,,,,
6sy3LkhNFjJWlaeSMNwQ62,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3AJwUDP919kvQ9QcozQPxg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1GYJpuLq41vEVKXiHGEY9j,,,,,,,,,,,,,,,
5F2xRvRFkxDvqdFtUNAEyw,,,,,,,,,,,,,,,
0nrRP2bk19rLc0orkWPQk2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
5R9KPXQVeyqsHZoPLMgfNy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0dqVP9CnGjaYNjya3gYbYy,,,,,,,,,,,,,,,
1tkg4EHVoqnhR6iFEXb60y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0TCmhnbMpw5zwPsTvlXTJi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1YDebgap5OFwXEBG18NJvy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0cu0rhnlCnJ7JIeHRiLpj3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
285pBltuF7vW8TeWk8hdRR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3J8EOeKLTLXORtWPpOU5bE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 ,,,,,,,,,,,,,,,
1hewNsVmijBqjKvFRQfk4m,,,,,,,,,,,,,,,
6Tio0ZoDeSQnI7EBAqWer2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0PvFJmanyNQMseIFrU708S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4wcBRRpIfesgcyUtis7PEg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4Oun2ylbjFKMPTiaSbbCih,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
7oK9VyNzrYvRFo7nQEYkWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1JSTJqkT5qHq8MDJnJbRE1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0ofHAoxe9vBkTCp2UQIavz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5uCax9HTNlzGybIStD3vDh,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2vXgyN14LX2zl7JEASw242,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
4LaGu95Ui2s4vprSQYWUAZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3DMs7bahbQTnoxCjgP7qoK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7eJMfftS33KTjuF7lTsMCx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5zqObw7wjBgL9TDiAymxPn,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
57JVGBtBLCfHw2muk5416J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1zi7xx7UVEFkmKfv06H8x0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
3jjujdWJ72nww5eGnfs2E7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2xXNLutYAOELYVObYb1C1S,,,,,,,,,,,,,,,
3ZozFqJJlDBNIm4xqxn2ZD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3PwRuzdphgedcWVUOVYJ7I,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3U4isOIWM3VvDubwSI3y7a,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1VLtjHwRWOVJiE5Py7JxoQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79s5XnCN4TJKTVMSmOx8Ep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2etHQJxIbV0soyPhelVs9Y,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
7fBv7CLKzipRk6EC6TWHOB,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3YJJjQPAbDT7mGpX3WtQ9A,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0MWiSBKm8Avs8iDIxcertp,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
267NGliXM8YLVZiKAD9Otm,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
6ocbgoVGwYJhOv1GgI9NsF,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1dIWPXMX4kRHj6Dt2DStUQ,,,,,,,,,,,,,,,
6pQKUKBpwr6GhfhcFFFozo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3H7ihDc1dqLriiWXwsc2po,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
5VTqW8raQYnj2avZ27nO2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1fxYz1s15pyZLsJT0Hdh1m,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
7IPKXYU2rTMnrLW5IZ7ZI5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3yfqSUWxFvZELEM4PmlwIR,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1Eu51GaXEehPMrDMh5QghA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6bsqes8Zg9gUULzuCkMUs0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3EpF150nXMSNjiH0bbmXIL,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
7wAnRqccDr2tzcSKLR4jKl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7LB3ilSpX1mSMKKztNTnu2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6nV2dFZXpv1JlqDWBeTXRl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4byRwLo7EmkCNBU6S8G6u0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2mmRtchzDVpCj9LSyexgjS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5B0kgjHULYJhAQkK5XsMoC,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2H7jZg2HliuQhZjfBblLrZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6uvMKqNlrSvcC4NaKnrwjZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58aW6yZGFl7rVM7SLfLnLL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2dNhNlpZAtV4lwAFW45LIv,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
1x3Qb8np6S1UvpSLthwEJN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2tnVG71enUj33Ic2nFN6kZ,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
36fhyo5QlxBW7DrDHIOn1G,,,,,,,,,,,,,,,
239yM7BAQ2CkNc61ogPGXo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2d1MywHy6FwKdzxFuSJnwl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0qxLQ6opocOGyFnlXqJ53x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2IePEfMAtqWS6rLXXFZIgI,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
7FdUvDkaE24o3FPIWTvzv2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1diS6nkxMQc3wwC4G1j0bh,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
249gnXrbfmV8NG6jTEMSwD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27RSJHEA99Y0Vsow7nA37A,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
079Ey5uxL04AKPQgVQwx5h,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
15qKrPi4Kg0z7g9HlwWyeb,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
1zejeOnykpCoyVSit6Bwp3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7Kba4OaxQFQ1zlknQUpNqN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0BTaaKT4RMbs5M73tOHX5Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67G6iaOw8DZqp1z8STR89R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34chhNX59Wo9HMFCsI3K8Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6Et5KimMg3IXwD6lJPGmQw,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
4wQUopWk9Ed7Ng5qpKN5qd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5RAIMjdrCEjpjaR5tBATXU,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0giiXonRhODYy4J1iy4Lb3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7BKLCZ1jbUBVqRi2FVlTVw,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
7ygpwy2qP3NbrxVkHvUhXY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48WidxP9CqyYtk97pwGZ3c,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0FFsgUoFibYISzMxuGS61W,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1aU1wpYBSpP0M6IiihY5Ue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7z4xW9WY86uH3gd1V9pfCM,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3rV5y8rcQrwRt9fWGLmjOQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1EJIcDYXwSqipW5dFe4uJz,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
3nY8AqaMNNHHLYV4380ol0,,,,,,,,,,,,,,,
3KdoeNlEN0BoAKWzaRLNZa,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
042Sl6Mn83JHyLEqdK7uI0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
49gzU1IS1B6P3GATSZ5eCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5vGLcdRuSbUhD8ScwsGSdA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2MZQAvsA7aZDssppBLRxYp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5JqZ3oqF00jkT81foAFvqg,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0qOnSQQF0yzuPWsXrQ9paz,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
7r9ZhitdQBONTFOiJW5mr8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01hEpx8jnOG4q7nDK14Rhi,,,,,,,,,,,,,,,
1VauUM5CBX7nkLcgafQL2B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5FVd6KXrgO9B3JPmC8OPst,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0BiK5BbYNFLb88CCOxBFJe,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
5fbHRCsGpFIOLRtlhCRFDR,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3JJL91ilRV6fXhKqu0FGXs,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
46oHvXwpEZOFX518we1nJD,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3EG9FJ0ToLfgnc1IG2Z1wz,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
4ydmav4vl7hebadtfZtMrg,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2goHCrsDJaflEwQ930ef0o,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
13HsOwrwTA5HgLuoaDHncP,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
6qouBO0wJtYc3k7DfKRUBx,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0W6I02J9xcqK8MtSeosEXb,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1pbbsI2KGPOMu0HmuGccBu,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
4Hta7Oy5W9HD0UgT1P8PPV,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0CsR9Y9SnC6ZWmekmVqSHz,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2NM0qHzx4Ohy8iXHEEgwlO,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
2HolBGR6tpiWI80MXoV1dJ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
